,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start,subject
0,9079,7079,680.0,1160.0,1520.0,5.0,9759.0,8239.0,bp
1,13079,11079,640.0,840.0,1800.0,5.0,13719.0,11919.0,bp
2,17079,15079,400.0,720.0,1680.0,5.0,17479.0,15799.0,bp
3,21079,19079,600.0,800.0,1800.0,1.0,21679.0,19879.0,bp
4,25079,23079,560.0,880.0,1680.0,5.0,25639.0,23959.0,bp
5,29079,27079,240.0,1160.0,1080.0,2.0,29319.0,28239.0,bp
6,33079,31079,840.0,1440.0,1400.0,3.0,33919.0,32519.0,bp
7,37079,35079,80.0,640.0,1440.0,4.0,37159.0,35719.0,bp
8,41079,39079,760.0,1000.0,1760.0,1.0,41839.0,40079.0,bp
9,45079,43079,760.0,1040.0,1720.0,1.0,45839.0,44119.0,bp
10,49079,47079,960.0,1120.0,1840.0,1.0,50039.0,48199.0,bp
11,53079,51079,480.0,1000.0,1480.0,5.0,53559.0,52079.0,bp
12,57079,55079,480.0,1000.0,1480.0,2.0,57559.0,56079.0,bp
13,61079,59079,4440.0,520.0,5920.0,4.0,65519.0,59599.0,bp
14,65079,63079,600.0,1320.0,1280.0,3.0,65679.0,64399.0,bp
15,69079,67079,640.0,1040.0,1600.0,2.0,69719.0,68119.0,bp
16,73079,71079,1520.0,1280.0,2240.0,3.0,74599.0,72359.0,bp
17,77079,75079,280.0,920.0,1360.0,5.0,77359.0,75999.0,bp
18,81079,79079,600.0,1040.0,1560.0,2.0,81679.0,80119.0,bp
19,85079,83079,320.0,1040.0,1280.0,2.0,85399.0,84119.0,bp
20,89079,87079,2120.0,10040.0,-5920.0,2.0,91199.0,97119.0,bp
21,93079,91079,520.0,840.0,1680.0,1.0,93599.0,91919.0,bp
22,97079,95079,840.0,1680.0,1160.0,4.0,97919.0,96759.0,bp
23,101079,99079,520.0,1240.0,1280.0,3.0,101599.0,100319.0,bp
24,105079,103079,600.0,880.0,1720.0,1.0,105679.0,103959.0,bp
25,109079,107079,560.0,1080.0,1480.0,4.0,109639.0,108159.0,bp
26,113079,111079,1000.0,1120.0,1880.0,1.0,114079.0,112199.0,bp
27,117079,115079,480.0,1280.0,1200.0,3.0,117559.0,116359.0,bp
28,121079,119079,1320.0,840.0,2480.0,3.0,122399.0,119919.0,bp
29,125079,123079,840.0,920.0,1920.0,1.0,125919.0,123999.0,bp
30,129079,127079,480.0,1000.0,1480.0,4.0,129559.0,128079.0,bp
31,133079,131079,1680.0,1080.0,2600.0,2.0,134759.0,132159.0,bp
32,137079,135079,1720.0,1040.0,2680.0,3.0,138799.0,136119.0,bp
33,141079,139079,1480.0,880.0,2600.0,5.0,142559.0,139959.0,bp
34,145079,143079,640.0,1120.0,1520.0,2.0,145719.0,144199.0,bp
35,149079,147079,480.0,880.0,1600.0,5.0,149559.0,147959.0,bp
36,153079,151079,1120.0,1880.0,1240.0,4.0,154199.0,152959.0,bp
37,157079,155079,360.0,1040.0,1320.0,4.0,157439.0,156119.0,bp
38,161079,159079,920.0,1000.0,1920.0,3.0,161999.0,160079.0,bp
39,165079,163079,480.0,1000.0,1480.0,2.0,165559.0,164079.0,bp
40,169079,167079,560.0,1240.0,1320.0,3.0,169639.0,168319.0,bp
41,173079,171079,480.0,840.0,1640.0,4.0,173559.0,171919.0,bp
42,177079,175079,720.0,1040.0,1680.0,1.0,177799.0,176119.0,bp
43,181079,179079,520.0,920.0,1600.0,5.0,181599.0,179999.0,bp
44,185079,183079,600.0,1080.0,1520.0,2.0,185679.0,184159.0,bp
45,189079,187079,840.0,1200.0,1640.0,3.0,189919.0,188279.0,bp
46,193079,191079,600.0,1120.0,1480.0,3.0,193679.0,192199.0,bp
47,197079,195079,640.0,1240.0,1400.0,5.0,197719.0,196319.0,bp
48,201079,199079,4120.0,880.0,5240.0,2.0,205199.0,199959.0,bp
49,205079,203079,800.0,840.0,1960.0,3.0,205879.0,203919.0,bp
50,209079,207079,640.0,1000.0,1640.0,1.0,209719.0,208079.0,bp
51,213079,211079,800.0,840.0,1960.0,1.0,213879.0,211919.0,bp
52,217079,215079,480.0,1080.0,1400.0,3.0,217559.0,216159.0,bp
53,221079,219079,760.0,1160.0,1600.0,5.0,221839.0,220239.0,bp
54,225079,223079,760.0,1480.0,1280.0,3.0,225839.0,224559.0,bp
55,229079,227079,600.0,1000.0,1600.0,2.0,229679.0,228079.0,bp
56,233079,231079,1440.0,800.0,2640.0,4.0,234519.0,231879.0,bp
57,237079,235079,720.0,880.0,1840.0,2.0,237799.0,235959.0,bp
58,241079,239079,280.0,920.0,1360.0,2.0,241359.0,239999.0,bp
59,245079,243079,640.0,880.0,1760.0,1.0,245719.0,243959.0,bp
60,249079,247079,440.0,1040.0,1400.0,5.0,249519.0,248119.0,bp
61,253079,251079,400.0,1160.0,1240.0,3.0,253479.0,252239.0,bp
62,257079,255079,880.0,920.0,1960.0,4.0,257959.0,255999.0,bp
63,261079,259079,1480.0,1200.0,2280.0,3.0,262559.0,260279.0,bp
64,265079,263079,520.0,1000.0,1520.0,2.0,265599.0,264079.0,bp
65,269079,267079,4240.0,680.0,5560.0,4.0,273319.0,267759.0,bp
66,273079,271079,800.0,920.0,1880.0,3.0,273879.0,271999.0,bp
67,277079,275079,760.0,1200.0,1560.0,1.0,277839.0,276279.0,bp
68,281079,279079,1400.0,1400.0,2000.0,1.0,282479.0,280479.0,bp
69,285079,283079,1040.0,1240.0,1800.0,2.0,286119.0,284319.0,bp
70,289079,287079,1000.0,1440.0,1560.0,1.0,290079.0,288519.0,bp
71,293079,291079,600.0,1160.0,1440.0,4.0,293679.0,292239.0,bp
72,297079,295079,200.0,720.0,1480.0,4.0,297279.0,295799.0,bp
73,301079,299079,1080.0,1560.0,1520.0,5.0,302159.0,300639.0,bp
74,305079,303079,1360.0,1120.0,2240.0,3.0,306439.0,304199.0,bp
75,309079,307079,1080.0,840.0,2240.0,4.0,310159.0,307919.0,bp
76,313079,311079,160.0,640.0,1520.0,3.0,313239.0,311719.0,bp
77,317079,315079,160.0,720.0,1440.0,1.0,317239.0,315799.0,bp
78,321079,319079,240.0,880.0,1360.0,2.0,321319.0,319959.0,bp
79,325079,323079,240.0,1040.0,1200.0,4.0,325319.0,324119.0,bp
80,329079,327079,680.0,1080.0,1600.0,3.0,329759.0,328159.0,bp
81,333079,331079,280.0,960.0,1320.0,4.0,333359.0,332039.0,bp
82,337079,335079,600.0,1080.0,1520.0,2.0,337679.0,336159.0,bp
83,341079,339079,1480.0,960.0,2520.0,1.0,342559.0,340039.0,bp
84,345079,343079,320.0,1120.0,1200.0,1.0,345399.0,344199.0,bp
85,349079,347079,1160.0,800.0,2360.0,2.0,350239.0,347879.0,bp
86,353079,351079,1000.0,1040.0,1960.0,3.0,354079.0,352119.0,bp
87,357079,355079,800.0,1000.0,1800.0,3.0,357879.0,356079.0,bp
88,361079,359079,1160.0,880.0,2280.0,4.0,362239.0,359959.0,bp
89,365079,363079,480.0,1040.0,1440.0,5.0,365559.0,364119.0,bp
90,369079,367079,400.0,880.0,1520.0,1.0,369479.0,367959.0,bp
91,373079,371079,520.0,1080.0,1440.0,3.0,373599.0,372159.0,bp
92,377079,375079,720.0,1440.0,1280.0,3.0,377799.0,376519.0,bp
93,381079,379079,440.0,1000.0,1440.0,2.0,381519.0,380079.0,bp
94,385079,383079,720.0,1160.0,1560.0,5.0,385799.0,384239.0,bp
95,389079,387079,400.0,960.0,1440.0,5.0,389479.0,388039.0,bp
96,393079,391079,600.0,1320.0,1280.0,3.0,393679.0,392399.0,bp
97,397079,395079,280.0,1040.0,1240.0,3.0,397359.0,396119.0,bp
98,401079,399079,640.0,960.0,1680.0,1.0,401719.0,400039.0,bp
99,405079,403079,680.0,2200.0,480.0,2.0,405759.0,405279.0,bp
100,409079,407079,600.0,1000.0,1600.0,2.0,409679.0,408079.0,bp
101,413079,411079,440.0,960.0,1480.0,3.0,413519.0,412039.0,bp
102,417079,415079,1480.0,880.0,2600.0,5.0,418559.0,415959.0,bp
103,421079,419079,360.0,920.0,1440.0,4.0,421439.0,419999.0,bp
104,425079,423079,440.0,800.0,1640.0,5.0,425519.0,423879.0,bp
105,429079,427079,240.0,920.0,1320.0,2.0,429319.0,427999.0,bp
106,433079,431079,1120.0,1640.0,1480.0,4.0,434199.0,432719.0,bp
107,437079,435079,840.0,880.0,1960.0,2.0,437919.0,435959.0,bp
108,441079,439079,680.0,920.0,1760.0,1.0,441759.0,439999.0,bp
109,445079,443079,8280.0,800.0,9480.0,5.0,453359.0,443879.0,bp
110,449079,447079,360.0,1160.0,1200.0,4.0,449439.0,448239.0,bp
111,453079,451079,280.0,920.0,1360.0,5.0,453359.0,451999.0,bp
112,457079,455079,12400.0,680.0,13720.0,5.0,469479.0,455759.0,bp
113,461079,459079,4040.0,800.0,5240.0,4.0,465119.0,459879.0,bp
114,465079,463079,40.0,720.0,1320.0,4.0,465119.0,463799.0,bp
115,469079,467079,400.0,1360.0,1040.0,5.0,469479.0,468439.0,bp
116,473079,471079,80.0,880.0,1200.0,5.0,473159.0,471959.0,bp
117,477079,475079,760.0,920.0,1840.0,4.0,477839.0,475999.0,bp
118,481079,479079,80.0,880.0,1200.0,4.0,481159.0,479959.0,bp
119,485079,483079,1200.0,1080.0,2120.0,5.0,486279.0,484159.0,bp
