,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
0,9079,7079,680,1160,1520,5.0,9759,8239
1,13079,11079,640,840,1800,5.0,13719,11919
2,17079,15079,400,720,1680,5.0,17479,15799
3,21079,19079,600,800,1800,1.0,21679,19879
4,25079,23079,560,880,1680,5.0,25639,23959
5,29079,27079,240,1160,1080,2.0,29319,28239
6,33079,31079,840,1440,1400,3.0,33919,32519
7,37079,35079,80,640,1440,4.0,37159,35719
8,41079,39079,760,1000,1760,1.0,41839,40079
9,45079,43079,760,1040,1720,1.0,45839,44119
10,49079,47079,960,1120,1840,1.0,50039,48199
11,53079,51079,480,1000,1480,5.0,53559,52079
12,57079,55079,480,1000,1480,2.0,57559,56079
13,61079,59079,4440,520,5920,4.0,65519,59599
14,65079,63079,600,1320,1280,3.0,65679,64399
15,69079,67079,640,1040,1600,2.0,69719,68119
16,73079,71079,1520,1280,2240,3.0,74599,72359
17,77079,75079,280,920,1360,5.0,77359,75999
18,81079,79079,600,1040,1560,2.0,81679,80119
19,85079,83079,320,1040,1280,2.0,85399,84119
20,89079,87079,2120,10040,-5920,2.0,91199,97119
21,93079,91079,520,840,1680,1.0,93599,91919
22,97079,95079,840,1680,1160,4.0,97919,96759
23,101079,99079,520,1240,1280,3.0,101599,100319
24,105079,103079,600,880,1720,1.0,105679,103959
25,109079,107079,560,1080,1480,4.0,109639,108159
26,113079,111079,1000,1120,1880,1.0,114079,112199
27,117079,115079,480,1280,1200,3.0,117559,116359
28,121079,119079,1320,840,2480,3.0,122399,119919
29,125079,123079,840,920,1920,1.0,125919,123999
30,129079,127079,480,1000,1480,4.0,129559,128079
31,133079,131079,1680,1080,2600,2.0,134759,132159
32,137079,135079,1720,1040,2680,3.0,138799,136119
33,141079,139079,1480,880,2600,5.0,142559,139959
34,145079,143079,640,1120,1520,2.0,145719,144199
35,149079,147079,480,880,1600,5.0,149559,147959
36,153079,151079,1120,1880,1240,4.0,154199,152959
37,157079,155079,360,1040,1320,4.0,157439,156119
38,161079,159079,920,1000,1920,3.0,161999,160079
39,165079,163079,480,1000,1480,2.0,165559,164079
40,169079,167079,560,1240,1320,3.0,169639,168319
41,173079,171079,480,840,1640,4.0,173559,171919
42,177079,175079,720,1040,1680,1.0,177799,176119
43,181079,179079,520,920,1600,5.0,181599,179999
44,185079,183079,600,1080,1520,2.0,185679,184159
45,189079,187079,840,1200,1640,3.0,189919,188279
46,193079,191079,600,1120,1480,3.0,193679,192199
47,197079,195079,640,1240,1400,5.0,197719,196319
48,201079,199079,4120,880,5240,2.0,205199,199959
49,205079,203079,800,840,1960,3.0,205879,203919
50,209079,207079,640,1000,1640,1.0,209719,208079
51,213079,211079,800,840,1960,1.0,213879,211919
52,217079,215079,480,1080,1400,3.0,217559,216159
53,221079,219079,760,1160,1600,5.0,221839,220239
54,225079,223079,760,1480,1280,3.0,225839,224559
55,229079,227079,600,1000,1600,2.0,229679,228079
56,233079,231079,1440,800,2640,4.0,234519,231879
57,237079,235079,720,880,1840,2.0,237799,235959
58,241079,239079,280,920,1360,2.0,241359,239999
59,245079,243079,640,880,1760,1.0,245719,243959
60,249079,247079,440,1040,1400,5.0,249519,248119
61,253079,251079,400,1160,1240,3.0,253479,252239
62,257079,255079,880,920,1960,4.0,257959,255999
63,261079,259079,1480,1200,2280,3.0,262559,260279
64,265079,263079,520,1000,1520,2.0,265599,264079
65,269079,267079,4240,680,5560,4.0,273319,267759
66,273079,271079,800,920,1880,3.0,273879,271999
67,277079,275079,760,1200,1560,1.0,277839,276279
68,281079,279079,1400,1400,2000,1.0,282479,280479
69,285079,283079,1040,1240,1800,2.0,286119,284319
70,289079,287079,1000,1440,1560,1.0,290079,288519
71,293079,291079,600,1160,1440,4.0,293679,292239
72,297079,295079,200,720,1480,4.0,297279,295799
73,301079,299079,1080,1560,1520,5.0,302159,300639
74,305079,303079,1360,1120,2240,3.0,306439,304199
75,309079,307079,1080,840,2240,4.0,310159,307919
76,313079,311079,160,640,1520,3.0,313239,311719
77,317079,315079,160,720,1440,1.0,317239,315799
78,321079,319079,240,880,1360,2.0,321319,319959
79,325079,323079,240,1040,1200,4.0,325319,324119
80,329079,327079,680,1080,1600,3.0,329759,328159
81,333079,331079,280,960,1320,4.0,333359,332039
82,337079,335079,600,1080,1520,2.0,337679,336159
83,341079,339079,1480,960,2520,1.0,342559,340039
84,345079,343079,320,1120,1200,1.0,345399,344199
85,349079,347079,1160,800,2360,2.0,350239,347879
86,353079,351079,1000,1040,1960,3.0,354079,352119
87,357079,355079,800,1000,1800,3.0,357879,356079
88,361079,359079,1160,880,2280,4.0,362239,359959
89,365079,363079,480,1040,1440,5.0,365559,364119
90,369079,367079,400,880,1520,1.0,369479,367959
91,373079,371079,520,1080,1440,3.0,373599,372159
92,377079,375079,720,1440,1280,3.0,377799,376519
93,381079,379079,440,1000,1440,2.0,381519,380079
94,385079,383079,720,1160,1560,5.0,385799,384239
95,389079,387079,400,960,1440,5.0,389479,388039
96,393079,391079,600,1320,1280,3.0,393679,392399
