,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
0,9079,7079,2880,1880,3000,1.0,11959,8959
1,13079,11079,440,1120,1320,5.0,13519,12199
2,17079,15079,3800,200,5600,2.0,20879,15279
3,21079,19079,6320,9400,-1080,3.0,27399,28479
4,25079,23079,2320,5400,-1080,3.0,27399,28479
5,29079,27079,3160,920,4240,5.0,32239,27999
6,33079,31079,5640,12760,-5120,3.0,38719,43839
7,37079,35079,1640,8760,-5120,3.0,38719,43839
8,41079,39079,2240,1080,3160,1.0,43319,40159
9,45079,43079,1440,760,2680,3.0,46519,43839
10,49079,47079,1000,720,2280,5.0,50079,47799
11,53079,51079,960,680,2280,3.0,54039,51759
12,57079,55079,800,920,1880,4.0,57879,55999
13,61079,59079,920,4720,-1800,3.0,61999,63799
14,65079,63079,1240,1560,1680,2.0,66319,64639
15,69079,67079,720,800,1920,1.0,69799,67879
16,73079,71079,280,1560,720,4.0,73359,72639
17,77079,75079,720,800,1920,2.0,77799,75879
18,81079,79079,760,800,1960,1.0,81839,79879
19,85079,83079,1040,840,2200,5.0,86119,83919
20,89079,87079,880,1720,1160,1.0,89959,88799
21,93079,91079,800,760,2040,5.0,93879,91839
22,97079,95079,9800,480,11320,4.0,106879,95559
23,101079,99079,5800,10360,-2560,4.0,106879,109439
24,105079,103079,2000,5160,-1160,3.0,107079,108239
25,109079,107079,5520,1480,6040,2.0,114599,108559
26,113079,111079,6160,12880,-4720,3.0,119239,123959
27,117079,115079,2160,8800,-4640,4.0,119239,123879
28,121079,119079,1880,720,3160,1.0,122959,119799
29,125079,123079,1040,720,2320,5.0,126119,123799
30,129079,127079,720,4480,-1760,4.0,129799,131559
31,133079,131079,640,480,2160,4.0,133719,131559
32,137079,135079,1160,720,2440,5.0,138239,135799
33,141079,139079,880,520,2360,5.0,141959,139599
34,145079,143079,920,400,2520,5.0,145999,143479
35,149079,147079,920,560,2360,5.0,149999,147639
36,153079,151079,1520,840,2680,3.0,154599,151919
37,157079,155079,1080,760,2320,1.0,158159,155839
38,161079,159079,920,800,2120,2.0,161999,159879
39,165079,163079,1120,840,2280,1.0,166199,163919
40,169079,167079,5000,720,6280,3.0,174079,167799
41,173079,171079,1040,880,2160,2.0,174119,171959
42,177079,175079,1200,680,2520,4.0,178279,175759
43,181079,179079,1240,640,2600,1.0,182319,179719
44,185079,183079,920,720,2200,2.0,185999,183799
45,189079,187079,720,800,1920,1.0,189799,187879
46,193079,191079,840,680,2160,2.0,193919,191759
47,197079,195079,960,640,2320,4.0,198039,195719
48,201079,199079,960,520,2440,5.0,202039,199599
49,205079,203079,920,880,2040,2.0,205999,203959
50,209079,207079,1000,640,2360,4.0,210079,207719
51,213079,211079,840,760,2080,2.0,213919,211839
52,217079,215079,1120,640,2480,1.0,218199,215719
53,221079,219079,1040,520,2520,1.0,222119,219599
54,225079,223079,1640,680,2960,5.0,226719,223759
55,229079,227079,1440,800,2640,5.0,230519,227879
56,233079,231079,960,880,2080,2.0,234039,231959
57,237079,235079,1000,600,2400,1.0,238079,235679
58,241079,239079,1120,640,2480,2.0,242199,239719
59,245079,243079,960,640,2320,1.0,246039,243719
60,249079,247079,1080,600,2480,2.0,250159,247679
61,253079,251079,520,640,1880,2.0,253599,251719
62,257079,255079,1080,800,2280,5.0,258159,255879
63,261079,259079,1000,640,2360,1.0,262079,259719
64,265079,263079,1040,720,2320,3.0,266119,263799
65,269079,267079,680,520,2160,4.0,269759,267599
66,273079,271079,800,800,2000,2.0,273879,271879
67,277079,275079,1080,400,2680,4.0,278159,275479
68,281079,279079,760,640,2120,1.0,281839,279719
69,285079,283079,1840,760,3080,3.0,286919,283839
70,289079,287079,1200,720,2480,2.0,290279,287799
71,293079,291079,1040,720,2320,4.0,294119,291799
72,297079,295079,1560,640,2920,3.0,298639,295719
73,301079,299079,1320,640,2680,2.0,302399,299719
74,305079,303079,760,680,2080,2.0,305839,303759
75,309079,307079,1360,680,2680,4.0,310439,307759
76,313079,311079,1000,720,2280,5.0,314079,311799
77,317079,315079,640,640,2000,2.0,317719,315719
78,321079,319079,480,400,2080,2.0,321559,319479
79,325079,323079,1240,480,2760,4.0,326319,323559
80,329079,327079,880,520,2360,4.0,329959,327599
81,333079,331079,1040,600,2440,3.0,334119,331679
82,337079,335079,800,480,2320,4.0,337879,335559
83,341079,339079,920,880,2040,2.0,341999,339959
84,345079,343079,1400,760,2640,1.0,346479,343839
85,349079,347079,2840,1240,3600,4.0,351919,348319
86,353079,351079,1160,680,2480,2.0,354239,351759
87,357079,355079,1160,680,2480,1.0,358239,355759
88,361079,359079,1720,720,3000,5.0,362799,359799
89,365079,363079,2360,760,3600,4.0,367439,363839
90,369079,367079,2840,8640,-3800,3.0,371919,375719
91,373079,371079,2600,680,3920,1.0,375679,371759
92,377079,375079,5520,640,6880,3.0,382599,375719
93,381079,379079,9320,360,10960,4.0,390399,379439
94,385079,383079,1400,520,2880,5.0,386479,383599
95,389079,387079,1400,520,2880,5.0,390479,387599
96,393079,391079,2320,560,3760,4.0,395399,391639
97,397079,395079,1280,680,2600,1.0,398359,395759
98,401079,399079,8880,600,10280,5.0,409959,399679
99,405079,403079,4880,16840,-9960,5.0,409959,419919
100,409079,407079,880,12840,-9960,5.0,409959,419919
101,413079,411079,1320,640,2680,1.0,414399,411719
102,417079,415079,480,640,1840,2.0,417559,415719
103,421079,419079,600,640,1960,4.0,421679,419719
104,425079,423079,480,440,2040,3.0,425559,423519
105,429079,427079,520,480,2040,3.0,429599,427559
106,433079,431079,440,480,1960,3.0,433519,431559
107,437079,435079,880,960,1920,4.0,437959,436039
108,441079,439079,360,440,1920,4.0,441439,439519
109,445079,443079,880,920,1960,1.0,445959,443999
110,449079,447079,560,720,1840,3.0,449639,447799
111,453079,451079,680,840,1840,4.0,453759,451919
112,457079,455079,640,640,2000,4.0,457719,455719
113,461079,459079,1160,1480,1680,2.0,462239,460559
114,465079,463079,680,760,1920,3.0,465759,463839
115,469079,467079,640,560,2080,3.0,469719,467639
116,473079,471079,640,640,2000,1.0,473719,471719
117,477079,475079,440,480,1960,1.0,477519,475559
118,481079,479079,600,640,1960,5.0,481679,479719
119,485079,483079,600,760,1840,2.0,485679,483839
120,489079,487079,4640,640,6000,3.0,493719,487719
121,493079,491079,640,840,1800,2.0,493719,491919
122,497079,495079,480,600,1880,5.0,497559,495679
123,501079,499079,360,480,1880,3.0,501439,499559
124,505079,503079,520,640,1880,1.0,505599,503719
125,509079,507079,1000,520,2480,3.0,510079,507599
126,513079,511079,600,640,1960,5.0,513679,511719
127,517079,515079,960,640,2320,4.0,518039,515719
128,521079,519079,840,440,2400,4.0,521919,519519
129,525079,523079,1040,720,2320,2.0,526119,523799
130,529079,527079,720,760,1960,5.0,529799,527839
131,533079,531079,1160,360,2800,4.0,534239,531439
132,537079,535079,1200,680,2520,1.0,538279,535759
133,541079,539079,840,760,2080,5.0,541919,539839
134,545079,543079,1120,760,2360,2.0,546199,543839
135,549079,547079,1200,840,2360,3.0,550279,547919
136,553079,551079,1400,720,2680,1.0,554479,551799
137,557079,555079,1120,640,2480,3.0,558199,555719
138,561079,559079,1280,800,2480,2.0,562359,559879
139,565079,563079,1440,760,2680,5.0,566519,563839
140,569079,567079,1160,600,2560,5.0,570239,567679
141,573079,571079,1640,520,3120,3.0,574719,571599
142,577079,575079,1040,600,2440,1.0,578119,575679
143,581079,579079,920,760,2160,2.0,581999,579839
144,585079,583079,1120,600,2520,5.0,586199,583679
145,589079,587079,1400,680,2720,1.0,590479,587759
146,593079,591079,1160,680,2480,5.0,594239,591759
147,597079,595079,1160,720,2440,1.0,598239,595799
148,601079,599079,1080,680,2400,3.0,602159,599759
149,605079,603079,960,720,2240,4.0,606039,603799
