,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
0,9079,7079,1840,1040,2800,5.0,10919,8119
1,13079,11079,880,800,2080,1.0,13959,11879
2,17079,15079,960,600,2360,1.0,18039,15679
3,21079,19079,1400,520,2880,1.0,22479,19599
4,25079,23079,1160,920,2240,2.0,26239,23999
5,29079,27079,840,560,2280,2.0,29919,27639
6,33079,31079,2800,800,4000,5.0,35879,31879
7,37079,35079,4360,9400,-3040,2.0,41439,44479
8,41079,39079,360,5400,-3040,2.0,41439,44479
9,45079,43079,1320,1280,2040,4.0,46399,44359
10,49079,47079,1320,760,2560,2.0,50399,47839
11,53079,51079,520,800,1720,3.0,53599,51879
12,57079,55079,360,760,1600,5.0,57439,55839
13,61079,59079,360,760,1600,2.0,61439,59839
14,65079,63079,600,680,1920,1.0,65679,63759
15,69079,67079,4280,1000,5280,4.0,73359,68079
16,73079,71079,280,5400,-3120,4.0,73359,76479
17,77079,75079,1600,880,2720,3.0,78679,75959
18,81079,79079,4360,720,5640,5.0,85439,79799
19,85079,83079,360,9160,-6800,5.0,85439,92239
20,89079,87079,400,680,1720,1.0,89479,87759
21,93079,91079,1160,960,2200,3.0,94239,92039
22,97079,95079,920,760,2160,5.0,97999,95839
23,101079,99079,280,960,1320,4.0,101359,100039
24,105079,103079,720,600,2120,4.0,105799,103679
25,109079,107079,560,520,2040,4.0,109639,107599
26,113079,111079,4400,1000,5400,2.0,117479,112079
27,117079,115079,400,720,1680,5.0,117479,115799
28,121079,119079,760,760,2000,1.0,121839,119839
29,125079,123079,440,880,1560,3.0,125519,123959
30,129079,127079,640,760,1880,5.0,129719,127839
31,133079,131079,4360,1160,5200,4.0,137439,132239
32,137079,135079,360,4600,-2240,4.0,137439,139679
33,141079,139079,1360,600,2760,4.0,142439,139679
34,145079,143079,4400,680,5720,3.0,149479,143759
35,149079,147079,400,5320,-2920,3.0,149479,152399
36,153079,151079,320,920,1400,4.0,153399,151999
37,157079,155079,920,760,2160,5.0,157999,155839
38,161079,159079,920,960,1960,3.0,161999,160039
39,165079,163079,360,680,1680,4.0,165439,163759
40,169079,167079,1680,760,2920,1.0,170759,167839
41,173079,171079,1160,760,2400,3.0,174239,171839
42,177079,175079,960,720,2240,1.0,178039,175799
43,181079,179079,4720,880,5840,3.0,185799,179959
44,185079,183079,800,4800,-2000,2.0,185879,187879
45,189079,187079,1760,720,3040,3.0,190839,187799
46,193079,191079,1120,760,2360,5.0,194199,191839
47,197079,195079,960,520,2440,5.0,198039,195599
48,201079,199079,880,920,1960,2.0,201959,199999
49,205079,203079,480,560,1920,2.0,205559,203639
50,209079,207079,1040,480,2560,2.0,210119,207559
51,213079,211079,560,600,1960,3.0,213639,211679
52,217079,215079,600,640,1960,3.0,217679,215719
53,221079,219079,840,760,2080,1.0,221919,219839
54,225079,223079,1360,800,2560,5.0,226439,223879
55,229079,227079,640,520,2120,5.0,229719,227599
56,233079,231079,400,720,1680,1.0,233479,231799
57,237079,235079,1560,760,2800,3.0,238639,235839
58,241079,239079,1200,680,2520,1.0,242279,239759
59,245079,243079,4520,680,5840,2.0,249599,243759
60,249079,247079,520,760,1760,5.0,249599,247839
61,253079,251079,1560,600,2960,5.0,254639,251679
62,257079,255079,1400,1440,1960,4.0,258479,256519
63,261079,259079,1760,800,2960,5.0,262839,259879
64,265079,263079,1080,800,2280,1.0,266159,263879
65,269079,267079,960,960,2000,5.0,270039,268039
66,273079,271079,480,920,1560,3.0,273559,271999
67,277079,275079,720,880,1840,2.0,277799,275959
68,281079,279079,480,720,1760,1.0,281559,279799
69,285079,283079,720,880,1840,2.0,285799,283959
70,289079,287079,1240,1040,2200,4.0,290319,288119
71,293079,291079,1080,720,2360,5.0,294159,291799
72,297079,295079,1400,760,2640,4.0,298479,295839
73,301079,299079,1400,920,2480,2.0,302479,299999
74,305079,303079,2240,1040,3200,4.0,307319,304119
75,309079,307079,1000,9360,-6360,3.0,310079,316439
76,313079,311079,1200,760,2440,2.0,314279,311839
77,317079,315079,4320,1120,5200,4.0,321399,316199
78,321079,319079,320,9440,-7120,4.0,321399,328519
79,325079,323079,720,760,1960,1.0,325799,323839
80,329079,327079,1000,640,2360,2.0,330079,327719
81,333079,331079,400,800,1600,3.0,333479,331879
82,337079,335079,640,760,1880,2.0,337719,335839
83,341079,339079,600,800,1800,5.0,341679,339879
84,345079,343079,480,560,1920,5.0,345559,343639
85,349079,347079,1200,720,2480,3.0,350279,347799
86,353079,351079,1680,760,2920,1.0,354759,351839
87,357079,355079,640,640,2000,3.0,357719,355719
88,361079,359079,920,560,2360,3.0,361999,359639
89,365079,363079,720,760,1960,5.0,365799,363839
90,369079,367079,960,800,2160,2.0,370039,367879
91,373079,371079,1240,760,2480,5.0,374319,371839
92,377079,375079,5480,720,6760,4.0,382559,375799
93,381079,379079,1560,5480,-1920,5.0,382639,384559
94,385079,383079,800,840,1960,3.0,385879,383919
95,389079,387079,520,720,1800,1.0,389599,387799
96,393079,391079,600,600,2000,1.0,393679,391679
97,397079,395079,1200,1280,1920,4.0,398279,396359
98,401079,399079,240,520,1720,4.0,401319,399599
99,405079,403079,880,840,2040,3.0,405959,403919
100,409079,407079,320,800,1520,4.0,409399,407879
101,413079,411079,680,560,2120,4.0,413759,411639
102,417079,415079,1320,560,2760,4.0,418399,415639
103,421079,419079,1440,800,2640,5.0,422519,419879
