,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
0,9079,7079,1000,1080.0,1920.0,1.0,10079,8159.0
1,13079,11079,480,1400.0,1080.0,4.0,13559,12479.0
2,17079,15079,520,760.0,1760.0,2.0,17599,15839.0
3,21079,19079,360,760.0,1600.0,4.0,21439,19839.0
4,25079,23079,440,840.0,1600.0,1.0,25519,23919.0
5,29079,27079,640,1280.0,1360.0,1.0,29719,28359.0
6,33079,31079,560,880.0,1680.0,3.0,33639,31959.0
7,37079,35079,400,800.0,1600.0,1.0,37479,35879.0
8,41079,39079,880,1080.0,1800.0,2.0,41959,40159.0
9,45079,43079,520,720.0,1800.0,2.0,45599,43799.0
10,49079,47079,480,720.0,1760.0,3.0,49559,47799.0
11,53079,51079,480,720.0,1760.0,3.0,53559,51799.0
12,57079,55079,240,520.0,1720.0,3.0,57319,55599.0
13,61079,59079,200,400.0,1800.0,3.0,61279,59479.0
14,65079,63079,400,880.0,1520.0,1.0,65479,63959.0
15,69079,67079,400,640.0,1760.0,2.0,69479,67719.0
16,73079,71079,920,1000.0,1920.0,3.0,73999,72079.0
17,77079,75079,840,1160.0,1680.0,5.0,77919,76239.0
18,81079,79079,720,800.0,1920.0,2.0,81799,79879.0
19,85079,83079,360,680.0,1680.0,3.0,85439,83759.0
20,89079,87079,400,680.0,1720.0,5.0,89479,87759.0
21,93079,91079,680,760.0,1920.0,3.0,93759,91839.0
22,97079,95079,960,1360.0,1600.0,4.0,98039,96439.0
23,101079,99079,680,640.0,2040.0,3.0,101759,99719.0
24,105079,103079,640,640.0,2000.0,3.0,105719,103719.0
25,109079,107079,320,960.0,1360.0,1.0,109399,108039.0
26,113079,111079,560,600.0,1960.0,3.0,113639,111679.0
27,117079,115079,760,640.0,2120.0,5.0,117839,115719.0
28,121079,119079,240,560.0,1680.0,5.0,121319,119639.0
29,125079,123079,120,680.0,1440.0,1.0,125199,123759.0
30,129079,127079,400,680.0,1720.0,4.0,129479,127759.0
31,133079,131079,8840,680.0,10160.0,5.0,141919,131759.0
32,137079,135079,880,760.0,2120.0,2.0,137959,135839.0
33,141079,139079,840,1120.0,1720.0,5.0,141919,140199.0
34,145079,143079,720,1040.0,1680.0,3.0,145799,144119.0
35,149079,147079,480,1240.0,1240.0,3.0,149559,148319.0
36,153079,151079,160,600.0,1560.0,3.0,153239,151679.0
37,157079,155079,960,1480.0,1480.0,4.0,158039,156559.0
38,161079,159079,1000,1360.0,1640.0,5.0,162079,160439.0
39,165079,163079,1120,1160.0,1960.0,3.0,166199,164239.0
40,169079,167079,160,680.0,1480.0,1.0,169239,167759.0
41,173079,171079,160,640.0,1520.0,3.0,173239,171719.0
42,177079,175079,360,680.0,1680.0,2.0,177439,175759.0
43,181079,179079,560,1160.0,1400.0,4.0,181639,180239.0
44,185079,183079,200,680.0,1520.0,1.0,185279,183759.0
45,189079,187079,160,640.0,1520.0,2.0,189239,187719.0
46,193079,191079,200,640.0,1560.0,1.0,193279,191719.0
47,197079,195079,320,720.0,1600.0,3.0,197399,195799.0
48,201079,199079,600,680.0,1920.0,2.0,201679,199759.0
49,205079,203079,400,720.0,1680.0,5.0,205479,203799.0
50,209079,207079,200,640.0,1560.0,1.0,209279,207719.0
51,213079,211079,360,560.0,1800.0,5.0,213439,211639.0
52,217079,215079,280,600.0,1680.0,5.0,217359,215679.0
53,221079,219079,400,600.0,1800.0,3.0,221479,219679.0
54,225079,223079,680,600.0,2080.0,5.0,225759,223679.0
55,229079,227079,240,640.0,1600.0,3.0,229319,227719.0
56,233079,231079,240,600.0,1640.0,2.0,233319,231679.0
57,237079,235079,320,720.0,1600.0,4.0,237399,235799.0
58,241079,239079,200,560.0,1640.0,4.0,241279,239639.0
59,245079,243079,200,600.0,1600.0,4.0,245279,243679.0
60,249079,247079,840,960.0,1880.0,4.0,249919,248039.0
61,253079,251079,520,840.0,1680.0,1.0,253599,251919.0
62,257079,255079,1240,2000.0,1240.0,3.0,258319,257079.0
63,261079,259079,1800,1200.0,2600.0,2.0,262879,260279.0
64,265079,263079,640,560.0,2080.0,5.0,265719,263639.0
65,269079,267079,760,560.0,2200.0,3.0,269839,267639.0
66,273079,271079,200,640.0,1560.0,4.0,273279,271719.0
67,277079,275079,680,600.0,2080.0,5.0,277759,275679.0
68,281079,279079,720,640.0,2080.0,1.0,281799,279719.0
69,285079,283079,640,600.0,2040.0,5.0,285719,283679.0
70,289079,287079,560,600.0,1960.0,5.0,289639,287679.0
71,293079,291079,160,600.0,1560.0,1.0,293239,291679.0
72,297079,295079,760,680.0,2080.0,4.0,297839,295759.0
73,301079,299079,160,600.0,1560.0,4.0,301239,299679.0
74,305079,303079,320,560.0,1760.0,5.0,305399,303639.0
75,309079,307079,240,680.0,1560.0,3.0,309319,307759.0
76,313079,311079,800,640.0,2160.0,2.0,313879,311719.0
77,317079,315079,920,840.0,2080.0,2.0,317999,315919.0
78,321079,319079,800,760.0,2040.0,3.0,321879,319839.0
79,325079,323079,520,600.0,1920.0,5.0,325599,323679.0
80,329079,327079,640,640.0,2000.0,2.0,329719,327719.0
81,333079,331079,520,640.0,1880.0,1.0,333599,331719.0
82,337079,335079,960,1120.0,1840.0,4.0,338039,336199.0
83,341079,339079,440,840.0,1600.0,1.0,341519,339919.0
84,345079,343079,760,840.0,1920.0,2.0,345839,343919.0
85,349079,347079,400,720.0,1680.0,4.0,349479,347799.0
86,353079,351079,440,680.0,1760.0,5.0,353519,351759.0
87,357079,355079,680,600.0,2080.0,2.0,357759,355679.0
88,361079,359079,200,600.0,1600.0,5.0,361279,359679.0
89,365079,363079,280,600.0,1680.0,1.0,365359,363679.0
90,369079,367079,600,600.0,2000.0,2.0,369679,367679.0
91,373079,371079,280,800.0,1480.0,4.0,373359,371879.0
92,377079,375079,80,560.0,1520.0,2.0,377159,375639.0
93,381079,379079,640,600.0,2040.0,5.0,381719,379679.0
94,385079,383079,280,720.0,1560.0,5.0,385359,383799.0
95,389079,387079,480,1000.0,1480.0,4.0,389559,388079.0
96,393079,391079,1360,760.0,2600.0,3.0,394439,391839.0
97,397079,395079,600,720.0,1880.0,3.0,397679,395799.0
98,401079,399079,720,1120.0,1600.0,1.0,401799,400199.0
99,405079,403079,440,960.0,1480.0,1.0,405519,404039.0
