,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
0,9119,7119,2360.0,3680.0,680.0,2.0,11479.0,10799.0
1,13119,11119,1800.0,840.0,2960.0,5.0,14919.0,11959.0
2,17119,15119,2480.0,2080.0,2400.0,3.0,19599.0,17199.0
3,21119,19119,2520.0,1040.0,3480.0,4.0,23639.0,20159.0
4,25119,23119,1240.0,840.0,2400.0,1.0,26359.0,23959.0
5,29119,27119,22000.0,22600.0,1400.0,3.0,51119.0,49719.0
6,33119,31119,19600.0,18480.0,3120.0,4.0,52719.0,49599.0
7,37119,35119,2840.0,1160.0,3680.0,1.0,39959.0,36279.0
8,41119,39119,6760.0,920.0,7840.0,2.0,47879.0,40039.0
9,45119,43119,7600.0,6480.0,3120.0,4.0,52719.0,49599.0
10,49119,47119,2880.0,2440.0,2440.0,5.0,51999.0,49559.0
11,53119,51119,9520.0,11440.0,80.0,2.0,62639.0,62559.0
12,57119,55119,5520.0,7440.0,80.0,2.0,62639.0,62559.0
13,61119,59119,6080.0,1240.0,6840.0,3.0,67199.0,60359.0
14,65119,63119,2760.0,2440.0,2320.0,5.0,67879.0,65559.0
15,69119,67119,14040.0,4800.0,11240.0,4.0,83159.0,71919.0
16,73119,71119,12680.0,840.0,13840.0,2.0,85799.0,71959.0
17,77119,75119,15640.0,13160.0,4480.0,5.0,92759.0,88279.0
18,81119,79119,2040.0,5240.0,-1200.0,4.0,83159.0,84359.0
19,85119,83119,7520.0,2480.0,7040.0,3.0,92639.0,85599.0
20,89119,87119,3640.0,1160.0,4480.0,5.0,92759.0,88279.0
21,93119,91119,3920.0,4040.0,1880.0,5.0,97039.0,95159.0
22,97119,95119,30720.0,29160.0,3560.0,2.0,127839.0,124279.0
23,101119,99119,26720.0,25160.0,3560.0,2.0,127839.0,124279.0
24,105119,103119,3640.0,1280.0,4360.0,1.0,108759.0,104399.0
25,109119,107119,2840.0,2440.0,2400.0,5.0,111959.0,109559.0
26,113119,111119,3240.0,3000.0,2240.0,4.0,116359.0,114119.0
27,117119,115119,2560.0,1400.0,3160.0,1.0,119679.0,116519.0
28,121119,119119,2400.0,1000.0,3400.0,5.0,123519.0,120119.0
29,125119,123119,7920.0,5240.0,4680.0,3.0,133039.0,128359.0
30,129119,127119,3920.0,1240.0,4680.0,3.0,133039.0,128359.0
