,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
0,9079,7079,880,1240,1640,2.0,9959,8319
1,13079,11079,1400,920,2480,3.0,14479,11999
2,17079,15079,1440,1600,1840,3.0,18519,16679
3,21079,19079,1360,1000,2360,4.0,22439,20079
4,25079,23079,440,1040,1400,3.0,25519,24119
5,29079,27079,2040,680,3360,5.0,31119,27759
6,33079,31079,1080,880,2200,2.0,34159,31959
7,37079,35079,1800,1080,2720,2.0,38879,36159
8,41079,39079,1760,1960,1800,4.0,42839,41039
9,45079,43079,880,1040,1840,3.0,45959,44119
10,49079,47079,960,760,2200,1.0,50039,47839
11,53079,51079,1520,800,2720,2.0,54599,51879
12,57079,55079,880,840,2040,3.0,57959,55919
13,61079,59079,800,840,1960,1.0,61879,59919
14,65079,63079,1720,880,2840,3.0,66799,63959
15,69079,67079,1280,960,2320,5.0,70359,68039
16,73079,71079,1160,800,2360,4.0,74239,71879
17,77079,75079,1000,800,2200,3.0,78079,75879
18,81079,79079,1200,840,2360,2.0,82279,79919
19,85079,83079,5880,840,7040,1.0,90959,83919
20,89079,87079,1880,24960,-21080,1.0,90959,112039
21,93079,91079,2080,1080,3000,5.0,95159,92159
22,97079,95079,4840,1120,5720,3.0,101919,96199
23,101079,99079,840,37080,-34240,3.0,101919,136159
24,105079,103079,1240,1120,2120,5.0,106319,104199
25,109079,107079,1600,1080,2520,4.0,110679,108159
26,113079,111079,3000,960,4040,1.0,116079,112039
27,117079,115079,2840,1400,3440,5.0,119919,116479
28,121079,119079,5840,1200,6640,1.0,126919,120279
29,125079,123079,1840,8960,-5120,1.0,126919,132039
30,129079,127079,2400,1360,3040,4.0,131479,128439
31,133079,131079,1800,960,2840,1.0,134879,132039
32,137079,135079,1800,1080,2720,3.0,138879,136159
33,141079,139079,22160,20800,3360,1.0,163239,159879
34,145079,143079,1320,840,2480,5.0,146399,143919
35,149079,147079,1000,680,2320,5.0,150079,147759
36,153079,151079,2320,1040,3280,2.0,155399,152119
37,157079,155079,2240,920,3320,5.0,159319,155999
38,161079,159079,2160,800,3360,1.0,163239,159879
39,165079,163079,2840,960,3880,3.0,167919,164039
40,169079,167079,2040,640,3400,2.0,171119,167719
41,173079,171079,1600,960,2640,4.0,174679,172039
42,177079,175079,2360,800,3560,1.0,179439,175879
43,181079,179079,2640,1240,3400,4.0,183719,180319
44,185079,183079,2320,800,3520,1.0,187399,183879
45,189079,187079,2560,1120,3440,4.0,191639,188199
46,193079,191079,6880,800,8080,2.0,199959,191879
47,197079,195079,2880,25120,-20240,2.0,199959,220199
48,201079,199079,2680,920,3760,1.0,203759,199999
49,205079,203079,2720,880,3840,5.0,207799,203959
50,209079,207079,10480,1120,11360,4.0,219559,208199
51,213079,211079,6480,17320,-8840,4.0,219559,228399
52,217079,215079,2480,13320,-8840,4.0,219559,228399
53,221079,219079,7320,1120,8200,2.0,228399,220199
54,225079,223079,3320,19000,-13680,2.0,228399,242079
55,229079,227079,2520,1320,3200,3.0,231599,228399
56,233079,231079,2320,800,3520,1.0,235399,231879
57,237079,235079,2000,880,3120,5.0,239079,235959
58,241079,239079,1200,1720,1480,4.0,242279,240799
59,245079,243079,480,920,1560,5.0,245559,243999
60,249079,247079,720,960,1760,2.0,249799,248039
61,253079,251079,760,1320,1440,4.0,253839,252399
62,257079,255079,680,1080,1600,5.0,257759,256159
63,261079,259079,1080,1160,1920,5.0,262159,260239
64,265079,263079,840,1080,1760,5.0,265919,264159
65,269079,267079,480,1000,1480,3.0,269559,268079
66,273079,271079,400,760,1640,3.0,273479,271839
67,277079,275079,1880,1440,2440,5.0,278959,276519
68,281079,279079,1080,1040,2040,2.0,282159,280119
69,285079,283079,2560,1320,3240,4.0,287639,284399
70,289079,287079,2680,1080,3600,1.0,291759,288159
71,293079,291079,5080,1600,5480,3.0,298159,292679
72,297079,295079,1080,29040,-25960,3.0,298159,324119
73,301079,299079,2240,1600,2640,4.0,303319,300679
74,305079,303079,2720,760,3960,2.0,307799,303839
75,309079,307079,1160,960,2200,1.0,310239,308039
76,313079,311079,2320,760,3560,5.0,315399,311839
77,317079,315079,1960,1240,2720,2.0,319039,316319
78,321079,319079,1720,1080,2640,4.0,322799,320159
79,325079,323079,840,1040,1800,3.0,325919,324119
80,329079,327079,3640,1120,4520,4.0,332719,328199
81,333079,331079,440,960,1480,3.0,333519,332039
82,337079,335079,120,1040,1080,5.0,337199,336119
83,341079,339079,680,920,1760,4.0,341759,339999
84,345079,343079,440,1040,1400,3.0,345519,344119
85,349079,347079,2000,1160,2840,2.0,351079,348239
86,353079,351079,1520,920,2600,4.0,354599,351999
87,357079,355079,1200,960,2240,1.0,358279,356039
88,361079,359079,1600,1360,2240,5.0,362679,360439
89,365079,363079,1520,880,2640,1.0,366599,363959
