,cue_end,cue_start,delay_end,delay_start,duration,finger,move_end,move_start
0,9079,7079,1160.0,1200.0,1960.0,4.0,10239.0,8279.0
1,13079,11079,640.0,880.0,1760.0,5.0,13719.0,11959.0
2,17079,15079,8200.0,9600.0,600.0,4.0,25279.0,24679.0
3,21079,19079,2200.0,3240.0,960.0,2.0,23279.0,22319.0
4,25079,23079,200.0,1600.0,600.0,4.0,25279.0,24679.0
5,29079,27079,400.0,1160.0,1240.0,1.0,29479.0,28239.0
6,33079,31079,760.0,1200.0,1560.0,3.0,33839.0,32279.0
7,37079,35079,720.0,1040.0,1680.0,3.0,37799.0,36119.0
8,41079,39079,400.0,920.0,1480.0,3.0,41479.0,39999.0
9,45079,43079,1520.0,1080.0,2440.0,3.0,46599.0,44159.0
10,49079,47079,1920.0,1640.0,2280.0,2.0,50999.0,48719.0
11,53079,51079,2480.0,1000.0,3480.0,5.0,55559.0,52079.0
12,57079,55079,2320.0,1360.0,2960.0,3.0,59399.0,56439.0
13,61079,59079,2840.0,1400.0,3440.0,4.0,63919.0,60479.0
14,65079,63079,1400.0,3080.0,320.0,4.0,66479.0,66159.0
15,69079,67079,640.0,1080.0,1560.0,3.0,69719.0,68159.0
16,73079,71079,1160.0,2880.0,280.0,4.0,74239.0,73959.0
17,77079,75079,1120.0,1160.0,1960.0,1.0,78199.0,76239.0
18,81079,79079,2280.0,1600.0,2680.0,2.0,83359.0,80679.0
19,85079,83079,3000.0,1480.0,3520.0,4.0,88079.0,84559.0
20,89079,87079,3240.0,760.0,4480.0,3.0,92319.0,87839.0
21,93079,91079,2400.0,13440.0,-9040.0,4.0,95479.0,104519.0
22,97079,95079,2600.0,1560.0,3040.0,2.0,99679.0,96639.0
23,101079,99079,760.0,1400.0,1360.0,1.0,101839.0,100479.0
24,105079,103079,1760.0,1440.0,2320.0,4.0,106839.0,104519.0
25,109079,107079,3960.0,1160.0,4800.0,5.0,113039.0,108239.0
26,113079,111079,3560.0,1320.0,4240.0,4.0,116639.0,112399.0
27,117079,115079,9360.0,1000.0,10360.0,4.0,126439.0,116079.0
28,121079,119079,12680.0,1120.0,13560.0,1.0,133759.0,120199.0
29,125079,123079,1520.0,1560.0,1960.0,3.0,126599.0,124639.0
30,129079,127079,920.0,1160.0,1760.0,4.0,129999.0,128239.0
31,133079,131079,680.0,1000.0,1680.0,1.0,133759.0,132079.0
32,137079,135079,1360.0,1520.0,1840.0,2.0,138439.0,136599.0
33,141079,139079,1200.0,1320.0,1880.0,5.0,142279.0,140399.0
34,145079,143079,1080.0,960.0,2120.0,3.0,146159.0,144039.0
35,149079,147079,1320.0,1520.0,1800.0,5.0,150399.0,148599.0
36,153079,151079,440.0,2400.0,40.0,3.0,153519.0,153479.0
37,157079,155079,1520.0,2200.0,1320.0,2.0,158599.0,157279.0
38,161079,159079,560.0,1360.0,1200.0,1.0,161639.0,160439.0
39,165079,163079,1360.0,1000.0,2360.0,5.0,166439.0,164079.0
40,169079,167079,2280.0,1480.0,2800.0,4.0,171359.0,168559.0
41,173079,171079,1920.0,1920.0,2000.0,5.0,174999.0,172999.0
42,177079,175079,1560.0,1280.0,2280.0,3.0,178639.0,176359.0
43,181079,179079,2360.0,1640.0,2720.0,2.0,183439.0,180719.0
44,185079,183079,2400.0,2640.0,1760.0,1.0,187479.0,185719.0
45,189079,187079,720.0,1160.0,1560.0,3.0,189799.0,188239.0
46,193079,191079,520.0,1400.0,1120.0,1.0,193599.0,192479.0
47,197079,195079,3400.0,880.0,4520.0,3.0,200479.0,195959.0
48,201079,199079,4760.0,6600.0,160.0,3.0,205839.0,205679.0
49,205079,203079,760.0,2600.0,160.0,3.0,205839.0,205679.0
50,209079,207079,1960.0,1200.0,2760.0,4.0,211039.0,208279.0
51,213079,211079,2320.0,920.0,3400.0,3.0,215399.0,211999.0
52,217079,215079,520.0,2520.0,0.0,1.0,217599.0,217599.0
53,221079,219079,20840.0,22440.0,400.0,1.0,241919.0,241519.0
54,225079,223079,18760.0,20760.0,0.0,5.0,243839.0,243839.0
55,229079,227079,1440.0,2600.0,840.0,4.0,230519.0,229679.0
56,233079,231079,10760.0,1760.0,11000.0,3.0,243839.0,232839.0
57,237079,235079,3200.0,4160.0,1040.0,4.0,240279.0,239239.0
58,241079,239079,840.0,2440.0,400.0,1.0,241919.0,241519.0
59,245079,243079,67520.0,760.0,68760.0,5.0,312599.0,243839.0
60,249079,247079,3840.0,4480.0,1360.0,1.0,252919.0,251559.0
61,253079,251079,19120.0,480.0,20640.0,1.0,272199.0,251559.0
62,257079,255079,1640.0,1040.0,2600.0,2.0,258719.0,256119.0
63,261079,259079,1320.0,1360.0,1960.0,2.0,262399.0,260439.0
64,265079,263079,3160.0,2400.0,2760.0,3.0,268239.0,265479.0
65,269079,267079,3120.0,3400.0,1720.0,1.0,272199.0,270479.0
66,273079,271079,20720.0,22320.0,400.0,2.0,293799.0,293399.0
67,277079,275079,1240.0,880.0,2360.0,1.0,278319.0,275959.0
68,281079,279079,3400.0,1720.0,3680.0,4.0,284479.0,280799.0
69,285079,283079,27520.0,29520.0,0.0,4.0,312599.0,312599.0
70,289079,287079,680.0,1240.0,1440.0,1.0,289759.0,288319.0
71,293079,291079,720.0,2320.0,400.0,2.0,293799.0,293399.0
72,297079,295079,81120.0,83120.0,0.0,2.0,378199.0,378199.0
73,301079,299079,8040.0,6720.0,3320.0,1.0,309119.0,305799.0
74,305079,303079,7520.0,9520.0,0.0,4.0,312599.0,312599.0
75,309079,307079,69120.0,71120.0,0.0,2.0,378199.0,378199.0
76,313079,311079,40640.0,1520.0,41120.0,5.0,353719.0,312599.0
77,317079,315079,15680.0,16800.0,880.0,3.0,332759.0,331879.0
78,321079,319079,57120.0,59120.0,0.0,2.0,378199.0,378199.0
79,325079,323079,1360.0,2680.0,680.0,4.0,326439.0,325759.0
80,329079,327079,24640.0,25040.0,1600.0,5.0,353719.0,352119.0
81,333079,331079,25280.0,800.0,26480.0,3.0,358359.0,331879.0
82,337079,335079,,880.0,,1.0,,335959.0
83,341079,339079,680.0,1320.0,1360.0,4.0,341759.0,340399.0
84,345079,343079,8600.0,9040.0,1560.0,4.0,353679.0,352119.0
85,349079,347079,4640.0,5040.0,1600.0,5.0,353719.0,352119.0
86,353079,351079,640.0,1040.0,1600.0,5.0,353719.0,352119.0
87,357079,355079,1280.0,2960.0,320.0,3.0,358359.0,358039.0
88,361079,359079,640.0,2240.0,400.0,5.0,361719.0,361319.0
89,365079,363079,5040.0,1280.0,5760.0,4.0,370119.0,364359.0
90,369079,367079,1040.0,6240.0,-3200.0,4.0,370119.0,373319.0
91,373079,371079,1520.0,1080.0,2440.0,3.0,374599.0,372159.0
92,377079,375079,4120.0,5800.0,320.0,4.0,381199.0,380879.0
93,381079,379079,160.0,1080.0,1080.0,5.0,381239.0,380159.0
94,385079,383079,1360.0,2960.0,400.0,2.0,386439.0,386039.0
95,389079,387079,42160.0,43960.0,200.0,2.0,431239.0,431039.0
96,393079,391079,38480.0,39440.0,1040.0,5.0,431559.0,430519.0
97,397079,395079,34160.0,35960.0,200.0,2.0,431239.0,431039.0
98,401079,399079,200.0,2200.0,0.0,3.0,401279.0,401279.0
99,405079,403079,26480.0,27440.0,1040.0,5.0,431559.0,430519.0
100,409079,407079,22160.0,23960.0,200.0,2.0,431239.0,431039.0
101,413079,411079,18480.0,19440.0,1040.0,5.0,431559.0,430519.0
102,417079,415079,,,,1.0,,
103,421079,419079,9840.0,11440.0,400.0,4.0,430919.0,430519.0
104,425079,423079,6480.0,7440.0,1040.0,5.0,431559.0,430519.0
105,429079,427079,6200.0,8200.0,0.0,3.0,435279.0,435279.0
106,433079,431079,4840.0,6680.0,160.0,5.0,437919.0,437759.0
107,437079,435079,7000.0,200.0,8800.0,3.0,444079.0,435279.0
108,441079,439079,,840.0,,4.0,,439919.0
