,elec,region,subject
0,19,0,bp
1,27,0,bp
2,29,0,bp
3,5,0,bp
4,12,1,bp
5,6,1,bp
6,20,2,bp
7,13,3,bp
8,14,3,bp
9,21,3,bp
10,7,3,bp
11,28,4,bp
12,35,4,bp
13,36,4,bp
14,42,4,bp
15,43,4,bp
16,0,6,bp
17,1,6,bp
18,10,6,bp
19,11,6,bp
20,15,6,bp
21,16,6,bp
22,17,6,bp
23,18,6,bp
24,2,6,bp
25,23,6,bp
26,24,6,bp
27,25,6,bp
28,26,6,bp
29,3,6,bp
30,31,6,bp
31,32,6,bp
32,33,6,bp
33,34,6,bp
34,39,6,bp
35,4,6,bp
36,40,6,bp
37,41,6,bp
38,8,6,bp
39,9,6,bp
40,22,7,bp
41,30,7,bp
42,37,7,bp
43,38,7,bp
44,44,7,bp
45,45,7,bp
