,elec,region,subject
0,10,0,cc
1,2,0,cc
2,26,0,cc
3,29,0,cc
4,3,0,cc
5,35,0,cc
6,4,0,cc
7,44,0,cc
8,5,0,cc
9,52,0,cc
10,57,0,cc
11,60,0,cc
12,61,0,cc
13,62,0,cc
14,0,1,cc
15,12,1,cc
16,19,1,cc
17,20,1,cc
18,28,1,cc
19,1,2,cc
20,11,3,cc
21,18,3,cc
22,27,3,cc
23,36,4,cc
24,37,4,cc
25,38,4,cc
26,45,4,cc
27,46,4,cc
28,53,4,cc
29,54,4,cc
30,13,6,cc
31,14,6,cc
32,15,6,cc
33,21,6,cc
34,22,6,cc
35,30,6,cc
36,6,6,cc
37,7,6,cc
38,16,7,cc
39,17,7,cc
40,23,7,cc
41,24,7,cc
42,25,7,cc
43,31,7,cc
44,32,7,cc
45,33,7,cc
46,34,7,cc
47,39,7,cc
48,40,7,cc
49,41,7,cc
50,42,7,cc
51,43,7,cc
52,47,7,cc
53,48,7,cc
54,49,7,cc
55,50,7,cc
56,51,7,cc
57,58,7,cc
58,59,7,cc
59,8,7,cc
60,9,7,cc
61,55,9,cc
62,56,9,cc
