,elec,region,subject
0,17,0,ht
1,25,0,ht
2,28,0,ht
3,29,0,ht
4,30,0,ht
5,53,0,ht
6,60,0,ht
7,55,1,ht
8,62,1,ht
9,63,1,ht
10,46,3,ht
11,54,3,ht
12,61,3,ht
13,31,4,ht
14,39,4,ht
15,47,4,ht
16,26,7,ht
17,27,7,ht
18,33,7,ht
19,34,7,ht
20,35,7,ht
21,36,7,ht
22,37,7,ht
23,38,7,ht
24,40,7,ht
25,41,7,ht
26,42,7,ht
27,43,7,ht
28,44,7,ht
29,45,7,ht
30,48,7,ht
31,49,7,ht
32,50,7,ht
33,51,7,ht
34,52,7,ht
35,56,7,ht
36,57,7,ht
37,58,7,ht
38,59,7,ht
39,10,8,ht
40,11,8,ht
41,12,8,ht
42,13,8,ht
43,14,8,ht
44,15,8,ht
45,18,8,ht
46,19,8,ht
47,2,8,ht
48,20,8,ht
49,21,8,ht
50,22,8,ht
51,23,8,ht
52,3,8,ht
53,4,8,ht
54,5,8,ht
55,6,8,ht
56,7,8,ht
57,0,9,ht
58,1,9,ht
59,16,9,ht
60,24,9,ht
61,32,9,ht
62,8,9,ht
63,9,9,ht
