,elec,region,subject
0,24,0,jc
1,26,1,jc
2,33,1,jc
3,34,1,jc
4,41,1,jc
5,25,2,jc
6,32,3,jc
7,40,3,jc
8,10,4,jc
9,11,4,jc
10,18,4,jc
11,19,4,jc
12,2,4,jc
13,3,4,jc
14,12,6,jc
15,13,6,jc
16,14,6,jc
17,15,6,jc
18,20,6,jc
19,21,6,jc
20,22,6,jc
21,27,6,jc
22,28,6,jc
23,29,6,jc
24,30,6,jc
25,35,6,jc
26,36,6,jc
27,37,6,jc
28,38,6,jc
29,4,6,jc
30,42,6,jc
31,43,6,jc
32,44,6,jc
33,45,6,jc
34,46,6,jc
35,5,6,jc
36,6,6,jc
37,7,6,jc
38,16,7,jc
39,17,7,jc
40,23,7,jc
41,31,7,jc
42,39,7,jc
43,8,7,jc
44,9,7,jc
45,0,8,jc
46,1,8,jc
