,elec,region,subject
0,11,0,jp
1,12,0,jp
2,15,0,jp
3,18,0,jp
4,19,0,jp
5,22,0,jp
6,23,0,jp
7,24,0,jp
8,25,0,jp
9,26,0,jp
10,27,0,jp
11,33,0,jp
12,4,0,jp
13,40,0,jp
14,41,0,jp
15,13,1,jp
16,14,1,jp
17,20,1,jp
18,21,1,jp
19,28,1,jp
20,5,1,jp
21,6,1,jp
22,34,4,jp
23,7,5,jp
24,0,6,jp
25,1,6,jp
26,10,6,jp
27,16,6,jp
28,17,6,jp
29,2,6,jp
30,3,6,jp
31,8,6,jp
32,9,6,jp
33,29,7,jp
34,30,7,jp
35,31,7,jp
36,35,7,jp
37,36,7,jp
38,43,7,jp
39,44,7,jp
40,32,8,jp
41,37,8,jp
42,38,8,jp
43,39,8,jp
44,42,8,jp
45,45,8,jp
46,46,8,jp
47,47,8,jp
48,48,8,jp
49,49,8,jp
50,50,8,jp
51,51,8,jp
52,52,8,jp
53,53,8,jp
54,54,8,jp
55,55,8,jp
56,56,8,jp
57,57,9,jp
