,elec,region,subject
0,12,0,wc
1,13,0,wc
2,26,0,wc
3,28,0,wc
4,29,0,wc
5,30,0,wc
6,32,0,wc
7,33,0,wc
8,2,1,wc
9,3,1,wc
10,9,1,wc
11,10,2,wc
12,11,3,wc
13,18,3,wc
14,4,3,wc
15,5,3,wc
16,16,4,wc
17,17,4,wc
18,24,4,wc
19,25,4,wc
20,0,6,wc
21,1,6,wc
22,8,6,wc
23,14,7,wc
24,15,7,wc
25,19,7,wc
26,20,7,wc
27,21,7,wc
28,22,7,wc
29,23,7,wc
30,27,7,wc
31,31,7,wc
32,6,7,wc
33,7,7,wc
34,34,8,wc
35,35,8,wc
36,36,8,wc
37,37,8,wc
38,38,8,wc
39,40,8,wc
40,41,8,wc
41,42,8,wc
42,43,8,wc
43,44,8,wc
44,45,8,wc
45,46,8,wc
46,48,8,wc
47,49,8,wc
48,50,8,wc
49,51,8,wc
50,52,8,wc
51,53,8,wc
52,54,8,wc
53,56,8,wc
54,57,8,wc
55,58,8,wc
56,59,8,wc
57,60,8,wc
58,61,8,wc
59,62,8,wc
60,39,9,wc
61,47,9,wc
62,55,9,wc
63,63,9,wc
