,elec,region,subject
0,19,0,zt
1,26,0,zt
2,28,0,zt
3,43,0,zt
4,47,0,zt
5,54,0,zt
6,12,1,zt
7,13,1,zt
8,20,1,zt
9,5,1,zt
10,21,3,zt
11,27,4,zt
12,33,4,zt
13,34,4,zt
14,35,4,zt
15,41,4,zt
16,42,4,zt
17,0,6,zt
18,1,6,zt
19,10,6,zt
20,11,6,zt
21,14,6,zt
22,15,6,zt
23,16,6,zt
24,17,6,zt
25,18,6,zt
26,2,6,zt
27,22,6,zt
28,23,6,zt
29,24,6,zt
30,25,6,zt
31,29,6,zt
32,3,6,zt
33,30,6,zt
34,31,6,zt
35,32,6,zt
36,37,6,zt
37,38,6,zt
38,39,6,zt
39,4,6,zt
40,40,6,zt
41,45,6,zt
42,46,6,zt
43,53,6,zt
44,6,6,zt
45,7,6,zt
46,8,6,zt
47,9,6,zt
48,36,7,zt
49,44,7,zt
50,48,8,zt
51,49,8,zt
52,50,8,zt
53,51,8,zt
54,52,8,zt
55,55,8,zt
56,56,8,zt
57,57,8,zt
58,58,8,zt
59,59,8,zt
60,60,8,zt
